My age is:,I've worked in design for:,I make:,My job is great because:,My skills include:,I am:,I work in:,I typically work:
41,15 - 20 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Business operations|Copywriting|Data analysis|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Experience design|Packaging design,40 hours
35,10 - 14 years,"$150,000 to $199,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|I'm in the position to scale my business|I have no problem acquiring new client work,Art direction|Copywriting|Photography|UI design|UX design,Extremely satisfied with my work situation,Experience design|Interaction design|Strategy|UI design|UX design,40 hours
33,5 - 9 years,"$150,000 to $199,999",My role is valued|The standard of work is pretty high|Benefits are sufficient (and maybe some perks on the side),AI / Algorithm design|Copywriting|Film / Video|UI design|UX design,"Not really satisfied, but I deal",AI / Algorithm design|Experience design|Service design|Strategy|UX design,51 - 60 hours
33,1 - 4 years,"$75,000 to $99,999",Benefits are sufficient (and maybe some perks on the side),Coding|Drawing / Painting|UI design,Ready to call it quits,Illustration|UI design|UX design,40 hours
29,5 - 9 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Business operations|Mentoring|Research|UI design|UX design,"Happy, but there's room for improvement",Research|Strategy|UI design|UX design,40 hours
26,Less than 1 year,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems|Benefits are sufficient (and maybe some perks on the side),Copywriting|UX design|Writing (published articles),Extremely satisfied with my work situation,UX design,40 hours
28,5 - 9 years,"$50,000 to $74,999",I have the opportunity to learn new skills|My role is valued|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Mentoring|Research|SEO / Social Media,"Happy, but there's room for improvement",Communication / Graphic design,Less than 40 hours
30,5 - 9 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|I respect the people I work with,Art direction|Research|UI design|UX design,"Happy, but there's room for improvement",Experience design|Interaction design|UI design|UX design,41 - 50 hours
29,5 - 9 years,"$75,000 to $99,999",There's flexibility over where and when I work|I'm paid what I'm worth,Project management|UI design|UX design,"Not really satisfied, but I deal",Communication / Graphic design|UI design,Less than 40 hours
51,10 - 14 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Data visualization|Leadership|Photography|Research|UX design,"Happy, but there's room for improvement",Experience design|Research|Strategy|UX design,41 - 50 hours
27,5 - 9 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|I have a manageable workload,Art direction|Drawing / Painting|Leadership,"Happy, but there's room for improvement",Communication / Graphic design,41 - 50 hours
24,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|I respect the people I work with|Benefits are sufficient (and maybe some perks on the side),Copywriting|Film / Video|Photography|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Motion graphics|Packaging design|UX design,41 - 50 hours
27,5 - 9 years,"$50,000 to $74,999",I have the opportunity to learn new skills|I have a manageable workload,Art direction|Facilitation|Project management|Research|Writing (published articles),"Not really satisfied, but I deal",Communication / Graphic design|Social impact design|Strategy,40 hours
59,20+ years,"$100,000 to $149,999",The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|I have a manageable workload,Art direction|Business development|Drawing / Painting|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Interaction design|Research|UX design,Less than 40 hours
25,5 - 9 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work,Mentoring|Photography|Research|UI design|UX design,Extremely satisfied with my work situation,Communication / Graphic design|Strategy|UI design|UX design,40 hours
31,10 - 14 years,"$150,000 to $199,999",I have a lot of autonomy and  freedom to make decisions|There's room to grow in my role|My role is valued|The standard of work is pretty high|I'm solving worthwhile problems|I'm paid what I'm worth,Business development|Business operations|Leadership|Mentoring|UI design,Extremely satisfied with my work situation,Communication / Graphic design|Strategy|UI design|UX design,51 - 60 hours
52,20+ years,"$150,000 to $199,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's flexibility over where and when I work,Art direction,"Not really satisfied, but I deal",Communication / Graphic design,41 - 50 hours
29,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with,Art direction|Drawing / Painting|UI design|Other,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|UI design,40 hours
34,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Art direction|Drawing / Painting,"Not really satisfied, but I deal",Communication / Graphic design|Illustration|Other,41 - 50 hours
33,1 - 4 years,"$50,000 to $74,999",I respect the people I work with|There's flexibility over where and when I work,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|UI design|UX design","Not really satisfied, but I deal",Communication / Graphic design|Illustration|Interaction design|Motion graphics|Packaging design,Less than 40 hours
32,1 - 4 years,"$75,000 to $99,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I respect the people I work with,Art direction|Data visualization|Research|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Strategy|UX design,40 hours
